algorithm,metric,n_cities,mean,std
SA,best_iter,800,10894.0,0.0
SA,best_iter,900,10894.0,0.0
SA,best_iter,1000,10894.0,0.0
LBSA,best_value,5,50.5,12.273956167430288
LBSA,best_value,10,84.8,12.6237870704476
LBSA,best_value,15,135.6,13.99428454762872
LBSA,best_value,20,202.3,21.35439064923183
LBSA,best_value,25,262.1,26.425177388240936
LBSA,best_value,30,324.1,14.59760254288354
LBSA,best_value,35,406.4,23.290341345716683
LBSA,best_value,40,476.3,19.995249435803498
LBSA,best_value,45,544.8,18.263625050903777
LBSA,best_value,50,596.1,31.389329397105634
LBSA,best_value,55,667.4,30.414470240331326
LBSA,best_value,60,731.5,13.215521177766695
LBSA,best_value,65,796.9,36.87126252245778
LBSA,best_value,70,885.6,30.961912085657758
LBSA,best_value,75,944.0,28.639134065121453
LBSA,best_value,80,1001.0,24.07072911234722
LBSA,best_value,85,1092.9,24.7
LBSA,best_value,90,1135.5,51.14929129518805
LBSA,best_value,100,1281.3,39.51721144008013
LBSA,best_value,200,2700.4,38.097768963549555
LBSA,best_value,300,4143.0,73.77397915254403
LBSA,best_value,400,5585.0,92.35258523723091
LBSA,best_value,500,7066.0,91.11201896566665
LBSA,best_value,600,8606.4,64.62847669564864
LBSA,best_value,700,10131.7,72.92605844278162
LBSA,best_value,800,11568.3,62.85865095593446
LBSA,best_value,900,13040.4,115.32926775107869
LBSA,best_value,1000,14607.8,78.22889491741526
LBSA,iterations,5,130.0,40.06245124802026
LBSA,iterations,10,391.0,114.64728518373211
LBSA,iterations,15,516.0,172.3629890666787
LBSA,iterations,20,901.0,248.20153101864622
LBSA,iterations,25,977.5,339.71495404235594
LBSA,iterations,30,1521.0,479.2118529418904
LBSA,iterations,35,1436.0,561.7908863625325
LBSA,iterations,40,1723.0,642.0093457263687
LBSA,iterations,45,1972.5,497.14308805413356
LBSA,iterations,50,2335.0,813.0805618141416
LBSA,iterations,55,2341.5,837.3919333263248
LBSA,iterations,60,2799.0,1007.285461028799
LBSA,iterations,65,3167.5,996.113070891051
LBSA,iterations,70,3004.0,1011.5181659268409
LBSA,iterations,75,3795.0,1416.7656828142049
LBSA,iterations,80,3935.0,1057.0903461861715
LBSA,iterations,85,3551.0,920.3580824874631
LBSA,iterations,90,4317.0,1114.5474417897158
LBSA,iterations,100,8670.0,1655.4153557340223
LBSA,iterations,200,17670.0,4319.07397482377
LBSA,iterations,300,32910.0,12292.0950207847
LBSA,iterations,400,38910.0,12025.040540472202
LBSA,iterations,500,53180.0,23455.32988469785
LBSA,iterations,600,60270.0,19705.59311464641
LBSA,iterations,700,78920.0,25436.21237527317
LBSA,iterations,800,85070.0,17191.812004556123
LBSA,iterations,900,95610.0,15747.685544231572
LBSA,iterations,1000,123030.0,36603.27854168257
LBSA,best_iter,5,35.6,23.97999165971498
LBSA,best_iter,10,149.9,97.48379352487264
LBSA,best_iter,15,227.3,159.44970994015637
LBSA,best_iter,20,310.5,211.89348739402067
LBSA,best_iter,25,396.1,237.15541317878453
LBSA,best_iter,30,272.0,191.15752666322086
LBSA,best_iter,35,666.7,478.69197820728095
LBSA,best_iter,40,863.9,611.9549738338598
LBSA,best_iter,45,647.7,426.3585462964241
LBSA,best_iter,50,993.6,673.735289264263
LBSA,best_iter,55,875.3,818.5468893105635
LBSA,best_iter,60,997.2,630.4153868680554
LBSA,best_iter,65,1075.3,1134.2002512784063
LBSA,best_iter,70,767.7,717.4078407712032
LBSA,best_iter,75,1455.2,949.4635116738294
LBSA,best_iter,80,1449.5,741.1444191249099
LBSA,best_iter,85,769.6,787.3580125965569
LBSA,best_iter,90,1541.0,717.6899051818967
LBSA,best_iter,100,3822.3,2406.0174583738994
LBSA,best_iter,200,3848.4,3056.561669588886
LBSA,best_iter,300,11566.0,5829.862262523876
LBSA,best_iter,400,14232.2,5774.83270407031
LBSA,best_iter,500,19126.2,16853.32018208875
LBSA,best_iter,600,21765.6,15025.348842539397
LBSA,best_iter,700,15552.4,14845.000297743345
LBSA,best_iter,800,19760.8,17650.689679443123
LBSA,best_iter,900,21962.0,16282.644496518371
LBSA,best_iter,1000,32221.9,25165.353565765774
